datetime,symbol,open,high,low,close,volume
2024-12-20 01:00:00,BINANCE:XRPUSDT,2.2391,2.355,1.9601,2.2793,1110347016.0
2024-12-21 01:00:00,BINANCE:XRPUSDT,2.2793,2.3858,2.1915,2.238,451599864.0
2024-12-22 01:00:00,BINANCE:XRPUSDT,2.2379,2.2938,2.1604,2.2031,310318499.0
2024-12-23 01:00:00,BINANCE:XRPUSDT,2.2032,2.2789,2.1308,2.2617,388820902.0
2024-12-24 01:00:00,BINANCE:XRPUSDT,2.2616,2.3507,2.2138,2.3238,249021066.0
2024-12-25 01:00:00,BINANCE:XRPUSDT,2.3238,2.3325,2.2615,2.2973,162014998.0
2024-12-26 01:00:00,BINANCE:XRPUSDT,2.2973,2.3164,2.1277,2.1559,266397920.0
2024-12-27 01:00:00,BINANCE:XRPUSDT,2.1559,2.2379,2.1149,2.1466,254236575.0
2024-12-28 01:00:00,BINANCE:XRPUSDT,2.1467,2.2076,2.1343,2.1843,106144470.0
2024-12-29 01:00:00,BINANCE:XRPUSDT,2.1843,2.1976,2.0711,2.0942,129587392.0
2024-12-30 01:00:00,BINANCE:XRPUSDT,2.0941,2.1526,1.9954,2.0587,326304793.0
2024-12-31 01:00:00,BINANCE:XRPUSDT,2.0587,2.1491,2.0126,2.0836,202867597.0
2025-01-01 01:00:00,BINANCE:XRPUSDT,2.0836,2.3545,2.0811,2.3328,340770274.0
2025-01-02 01:00:00,BINANCE:XRPUSDT,2.3329,2.4522,2.3297,2.4024,361196381.0
2025-01-03 01:00:00,BINANCE:XRPUSDT,2.4024,2.4798,2.3966,2.4547,233672728.0
2025-01-04 01:00:00,BINANCE:XRPUSDT,2.4546,2.509,2.3999,2.4201,179793926.0
2025-01-05 01:00:00,BINANCE:XRPUSDT,2.4201,2.4285,2.3273,2.3994,155537860.0
2025-01-06 01:00:00,BINANCE:XRPUSDT,2.3993,2.4584,2.3674,2.42,194293277.0
2025-01-07 01:00:00,BINANCE:XRPUSDT,2.42,2.4683,2.2572,2.2712,342477338.0
2025-01-08 01:00:00,BINANCE:XRPUSDT,2.2712,2.3986,2.2001,2.3731,401036029.0
2025-01-09 01:00:00,BINANCE:XRPUSDT,2.373,2.3956,2.2351,2.2722,294585086.0
2025-01-10 01:00:00,BINANCE:XRPUSDT,2.2722,2.3699,2.2465,2.3414,248018278.0
2025-01-11 01:00:00,BINANCE:XRPUSDT,2.3414,2.6036,2.3249,2.5764,349172496.0
2025-01-12 01:00:00,BINANCE:XRPUSDT,2.5764,2.5835,2.47,2.5046,222912333.0
2025-01-13 01:00:00,BINANCE:XRPUSDT,2.5045,2.5634,2.3297,2.5232,515356746.0
2025-01-14 01:00:00,BINANCE:XRPUSDT,2.5232,2.7,2.5126,2.6673,397227342.0
2025-01-15 01:00:00,BINANCE:XRPUSDT,2.6673,3.2,2.6492,3.1429,1062630122.2299999
2025-01-16 01:00:00,BINANCE:XRPUSDT,3.143,3.4,2.9228,3.2451,1110371222.1999998
2025-01-17 01:00:00,BINANCE:XRPUSDT,3.245,3.3544,3.1758,3.2922,529933494.0
2025-01-18 01:00:00,BINANCE:XRPUSDT,3.2923,3.2996,3.058,3.2697,458088944.0
2025-01-19 01:00:00,BINANCE:XRPUSDT,3.2697,3.2929,2.8277,2.9587,663328805.0
2025-01-20 01:00:00,BINANCE:XRPUSDT,2.9586,3.3695,2.909,3.1053,838761258.0
2025-01-21 01:00:00,BINANCE:XRPUSDT,3.1053,3.246,3.0124,3.1738,376423502.0
2025-01-22 01:00:00,BINANCE:XRPUSDT,3.1739,3.2854,3.1237,3.1803,291761274.0
2025-01-23 01:00:00,BINANCE:XRPUSDT,3.1802,3.1868,3.0374,3.1194,305314846.0
2025-01-24 01:00:00,BINANCE:XRPUSDT,3.1194,3.2031,3.055,3.1009,232626964.0
2025-01-25 01:00:00,BINANCE:XRPUSDT,3.1008,3.1446,3.0784,3.108,99489857.0
2025-01-26 01:00:00,BINANCE:XRPUSDT,3.1079,3.1443,3.0115,3.0223,128937813.0
2025-01-27 01:00:00,BINANCE:XRPUSDT,3.0222,3.0587,2.6559,3.0552,660056174.0
2025-01-28 01:00:00,BINANCE:XRPUSDT,3.0552,3.214,3.0062,3.0572,369470786.0
2025-01-29 01:00:00,BINANCE:XRPUSDT,3.0572,3.1363,2.9673,3.0683,254756655.0
2025-01-30 01:00:00,BINANCE:XRPUSDT,3.0683,3.1544,3.0466,3.1276,173143314.0
2025-01-31 01:00:00,BINANCE:XRPUSDT,3.1276,3.1333,3.003,3.0361,162235322.0
2025-02-01 01:00:00,BINANCE:XRPUSDT,3.0361,3.0727,2.8281,2.8778,173601404.0
2025-02-02 01:00:00,BINANCE:XRPUSDT,2.8779,2.9559,2.4603,2.58,684089012.0
2025-02-03 01:00:00,BINANCE:XRPUSDT,2.5801,2.7814,1.7711,2.7001,1866758972.0
2025-02-04 01:00:00,BINANCE:XRPUSDT,2.7,2.7874,2.4209,2.5274,621552965.0
2025-02-05 01:00:00,BINANCE:XRPUSDT,2.5275,2.5692,2.3384,2.381,338815093.0
2025-02-06 01:00:00,BINANCE:XRPUSDT,2.381,2.4699,2.2772,2.325,322896937.0
2025-02-07 01:00:00,BINANCE:XRPUSDT,2.3251,2.542,2.2655,2.3968,447487945.0
2025-02-08 01:00:00,BINANCE:XRPUSDT,2.3969,2.4372,2.3506,2.419,154717204.0
2025-02-09 01:00:00,BINANCE:XRPUSDT,2.419,2.5079,2.3113,2.3928,204205603.0
2025-02-10 01:00:00,BINANCE:XRPUSDT,2.3928,2.4733,2.3235,2.4237,207257933.0
2025-02-11 01:00:00,BINANCE:XRPUSDT,2.4238,2.529,2.3708,2.4131,248182176.0
2025-02-12 01:00:00,BINANCE:XRPUSDT,2.413,2.4962,2.3323,2.4734,227957636.0
2025-02-13 01:00:00,BINANCE:XRPUSDT,2.4734,2.6061,2.4154,2.5599,212478703.0
2025-02-14 01:00:00,BINANCE:XRPUSDT,2.56,2.8356,2.53,2.7384,407541122.0
2025-02-15 01:00:00,BINANCE:XRPUSDT,2.7384,2.8335,2.713,2.7619,184181907.0
2025-02-16 01:00:00,BINANCE:XRPUSDT,2.7619,2.8054,2.6879,2.7283,132387997.0
2025-02-17 01:00:00,BINANCE:XRPUSDT,2.7283,2.7648,2.6075,2.6599,212813356.0
2025-02-18 01:00:00,BINANCE:XRPUSDT,2.6599,2.6699,2.4693,2.5628,227170019.0
2025-02-19 01:00:00,BINANCE:XRPUSDT,2.5629,2.747,2.5121,2.7378,208244059.0
2025-02-20 01:00:00,BINANCE:XRPUSDT,2.7378,2.749,2.6671,2.6877,161604635.0
2025-02-21 01:00:00,BINANCE:XRPUSDT,2.6878,2.716,2.5076,2.5721,257777373.0
2025-02-22 01:00:00,BINANCE:XRPUSDT,2.5722,2.6099,2.5505,2.574,92676731.0
2025-02-23 01:00:00,BINANCE:XRPUSDT,2.574,2.6016,2.5408,2.5673,43978905.0
